"MP","LC","FC","VC"
1,11,0,22.5375
2,11,0,22.275
3,11,0,37.3125
4,11,0,94
5,11,0,97
6,11,0,105
7,11,54000,45.5
8,11,40000,43
9,11,50000,45.5
10,11,70000,83.02
11,11,17000,74
12,11,55000,130
13,11,17000,77
14,11,33000,89
15,11,10000,50.9
16,11,0,180.3
17,11,0,14.2
18,11,19052,60.57
19,11,38134,77.15
20,11,86000,53.87
21,11,6000,106.39
22,11,6000,110.23
23,11,6000,129.03
24,11,6000,135.87
25,11,6000,115.18
26,11,6000,104.13
27,11,6000,135.86
28,11,6000,131.57
29,11,6000,122.17
30,11,0,66.15
31,11,50770,100.04
32,11,53878,96.28
33,11,61156,95.59
34,11,0,61.35
35,11,101920,67.6
36,11,0,73.71
37,11,0,115
38,11,0,58.69
39,11,0,59.77
40,11,0,74.98
41,11,98396,51.78
42,11,63291,95.64
43,11,65350,63.72
44,11,105052,93.43
45,11,0,70.43
46,11,0,71.88
47,11,0,95
48,11,0,74.19
49,11,0,105
50,11,104256,55.26
51,11,146622,85.14
52,11,0,120
53,11,0,68.52
54,11,0,69.57
55,11,0,59.55
56,11,0,75.47
57,11,1211444,106.92
58,11,0,48
59,11,0,48
60,11,0,40.5
61,11,81753,45.5
62,11,81753,44
63,11,81753,46
64,11,44099,62.36
65,11,44099,62.36
66,11,44099,62.36
67,11,26116,99
68,11,56394,99
69,11,70158,74.08
70,11,70158,74.08
71,11,16000,80.84
72,11,41634,82.38
73,11,59695,81.62
74,11,44824,84.27
75,11,60073,83.78
76,11,28064,100.16
77,12,80000,22
78,12,80000,18
79,12,140000,180
80,12,50000,46
81,12,50000,47
82,12,20000,29
83,12,20000,29.2
84,12,20000,29.4
85,12,20000,29.6
86,12,150000,76.5
87,12,150000,77
88,12,20000,73.5
89,12,20000,72
90,12,50000,74
91,12,56401,99
92,12,56401,99
