"I","PI0","PI1","QI","LI","TI"
1,0,0,-12886,11,9
2,0.1,0.1,-1,11,9
3,0.6,0.6,-11,11,9
4,0.7,0.7,-20.7,11,9
5,1,1,-473,11,9
6,1.5,1.5,-164,11,9
7,2.5,2.5,-126.9,11,9
8,4.5,4.5,-291.8,11,9
9,5,5,-300,11,9
10,6,6,-121.3,11,9
11,7.7,7.7,-86.5,11,9
12,8.4,8.4,-86.5,11,9
13,9.2,9.2,-86.5,11,9
14,10.4,10.4,-86.5,11,9
15,12.02,12.02,-17,11,9
16,14.01,14.01,-72,11,9
17,15,15,-0.1,11,9
18,15.5,15.5,-26.2,11,9
19,16,16,-27.5,11,9
20,16.25,16.25,-0.9,11,9
21,17.02,17.02,-19,11,9
22,18.01,18.01,-114,11,9
23,18.8,18.8,-73,11,9
24,20,20,-73,11,9
25,21,21,-7.8,11,9
26,24,24,-84.8,11,9
27,24.3,24.3,-69.4,11,9
28,25.4,25.4,-69.4,11,9
29,26,26,-4.9,11,9
30,26.8,26.8,-6.8,11,9
31,26.9,26.9,-182.6,11,9
32,28,28,-262.6,11,9
33,28.03,28.03,-12,11,9
34,29.01,29.01,-80,11,9
35,29.2,29.2,-182.6,11,9
36,30,30,-10.5,11,9
37,30.01,30.01,-20,11,9
38,31.5,31.5,-80,11,9
39,32.03,32.03,-34,11,9
40,34.02,34.02,-28,11,9
41,34.5,34.5,-367.8,11,9
42,34.6,34.6,-287.8,11,9
43,35,35,-2,11,9
44,35.03,35.03,-30,11,9
45,35.5,35.5,-65,11,9
46,35.7,35.7,-207.7,11,9
47,36.01,36.01,-204,11,9
48,36.5,36.5,-80.3,11,9
49,38.01,38.01,-120.3,11,9
50,39,39,-207.7,11,9
51,39.01,39.01,-22,11,9
52,39.52,39.52,-80.3,11,9
53,40,40,-114.9,11,9
54,40.03,40.03,-4,11,9
55,40.4,40.4,-287.8,11,9
56,41,41,-72.5,11,9
57,41.03,41.03,-80.3,11,9
58,41.26,41.26,-351,11,9
59,41.5,41.5,-72.5,11,9
60,41.8,41.8,-50,11,9
61,42,42,-50,11,9
62,42.02,42.02,-30,11,9
63,42.2,42.2,-50,11,9
64,42.38,42.38,-90,11,9
65,42.4,42.4,-50,11,9
66,42.5,42.5,-0.1,11,9
67,43.03,43.03,-7,11,9
68,43.28,43.28,-90,11,9
