"H","PH","QH","TH","MP","AR","LH","VH"
1,67.6125,-397,1,414,0.6,11,61.9
2,67.6125,-397,2,414,0.6,11,61.9
3,67.6125,-397,3,414,0.6,11,61.9
4,67.6125,-397,4,414,0.6,11,61.9
5,67.6125,-397,5,414,0.6,11,61.9
6,67.6125,-397,6,414,0.6,11,61.9
7,67.6125,-397,7,414,0.6,11,61.9
8,67.6125,-397,8,414,0.6,11,61.9
9,23.2125,-80,9,414,0.6,11,61.9
10,67.6125,-317,9,414,0,11,61.9
11,23.2125,-120,10,414,0.6,11,61.9
12,67.6125,-277,10,414,0,11,61.9
13,23.2125,-120,11,414,0.6,11,61.9
14,67.6125,-277,11,414,0,11,61.9
15,23.2125,-120,12,414,0.6,11,61.9
16,67.6125,-277,12,414,0,11,61.9
17,23.2125,-120,13,414,0.6,11,61.9
18,67.6125,-277,13,414,0,11,61.9
19,23.2125,-140,14,414,0.6,11,61.9
20,67.6125,-257,14,414,0,11,61.9
21,23.2125,-270,15,414,0.6,11,61.9
22,67.6125,-127,15,414,0,11,61.9
23,23.2125,-360,16,414,0.6,11,61.9
24,67.6125,-37,16,414,0,11,61.9
25,23.2125,-357.3,17,414,0.6,11,61.9
26,67.6125,-39.7,17,414,0,11,61.9
27,23.2125,-358,18,414,0.6,11,61.9
28,67.6125,-39,18,414,0,11,61.9
29,23.2125,-358.6,19,414,0.6,11,61.9
30,67.6125,-38.4,19,414,0,11,61.9
31,23.2125,-359.4,20,414,0.6,11,61.9
32,67.6125,-37.6,20,414,0,11,61.9
33,23.2125,-364.2,21,414,0.6,11,61.9
34,67.6125,-32.8,21,414,0,11,61.9
35,23.2125,-369.8,22,414,0.6,11,61.9
36,67.6125,-27.2,22,414,0,11,61.9
37,23.2125,-375,23,414,0.6,11,61.9
38,67.6125,-22,23,414,0,11,61.9
39,23.2125,-377.9,24,414,0.6,11,61.9
40,67.6125,-19.1,24,414,0,11,61.9
41,48.75,-734.9,1,415,0.6,11,99.5
42,48.75,-737.1,2,415,0.6,11,99.5
43,48.75,-739.3,3,415,0.6,11,99.5
44,48.75,-741.1,4,415,0.6,11,99.5
45,48.75,-744.6,5,415,0.6,11,99.5
46,48.75,-745.9,6,415,0.6,11,99.5
47,48.75,-746.7,7,415,0.6,11,99.5
48,37.3125,-50,8,415,0.6,11,99.5
49,37.3125,-550,8,415,0,11,99.5
50,37.3125,-147,8,415,0,11,99.5
51,37.3125,-300,9,415,0.6,11,99.5
52,37.3125,-300,9,415,0,11,99.5
53,37.3125,-147.1,9,415,0,11,99.5
54,37.3125,-600,10,415,0.6,11,99.5
55,37.3125,-140.4,10,415,0,11,99.5
56,37.3125,-600,11,415,0.6,11,99.5
57,37.3125,-128.8,11,415,0,11,99.5
58,37.3125,-600,12,415,0.6,11,99.5
59,37.3125,-117.6,12,415,0,11,99.5
60,37.3125,-600,13,415,0.6,11,99.5
61,37.3125,-110.1,13,415,0,11,99.5
62,37.3125,-600,14,415,0.6,11,99.5
63,37.3125,-104.7,14,415,0,11,99.5
64,37.3125,-600,15,415,0.6,11,99.5
65,37.3125,-103.3,15,415,0,11,99.5
66,37.3125,-600,16,415,0.6,11,99.5
67,37.3125,-102.9,16,415,0,11,99.5
68,37.3125,-600,17,415,0.6,11,99.5
69,37.3125,-100.8,17,415,0,11,99.5
70,37.3125,-600,18,415,0.6,11,99.5
71,37.3125,-104.8,18,415,0,11,99.5
